,eventNum,lumiNum,taggerScore
123,622146.0,299.0,4.8438541853101924e-05
124,3090142.0,1484.0,0.003443031571805477
125,2873253.0,1380.0,0.000982446363195777
126,1198573.0,576.0,0.00019445996440481395
127,158216.0,76.0,2.644690994202392e-06
128,1467839.0,705.0,0.00041005935054272413
129,1907116.0,916.0,0.03513943776488304
130,1817470.0,873.0,2.1473209926625714e-05
131,61721.0,30.0,0.005365748889744282
132,1339814.0,644.0,0.0004240627458784729
133,3072501.0,1476.0,0.0003782210114877671
134,1119812.0,538.0,1.8755310975393513e-06
135,316125.0,152.0,0.00037040654569864273
136,1956303.0,940.0,0.00021962897153571248
137,3347540.0,1608.0,9.731406316859648e-05
138,286429.0,138.0,0.06802097707986832
139,2296403.0,1103.0,5.6742359447525814e-05
140,2367381.0,1137.0,0.0005862779798917472
141,3888575.0,1867.0,0.0038412592839449644
142,1678760.0,806.0,7.918167830212042e-05
143,3501611.0,1682.0,1.7312531781499274e-05
144,1514470.0,728.0,1.0542866220930591e-05
145,3025894.0,1453.0,3.231284426874481e-05
146,3113426.0,1495.0,0.011549698188900948
147,1323394.0,636.0,0.024042120203375816
148,966501.0,464.0,0.00023460507509298623
149,1771611.0,851.0,0.012482255697250366
150,826163.0,397.0,0.0003744090208783746
151,3615866.0,1736.0,7.161365374486195e-06
152,2023461.0,972.0,2.8988963094889186e-05
153,1643682.0,790.0,0.0001265029131900519
154,1963001.0,943.0,0.005241605918854475
155,2372391.0,1139.0,0.00024208366812672466
156,404980.0,195.0,0.014363212510943413
157,183744.0,89.0,0.005709525663405657
158,1116355.0,536.0,0.0010344937909394503
159,2807562.0,1348.0,4.0460581658408046e-05
160,146461.0,71.0,0.1668901890516281
161,2089172.0,1003.0,0.43084096908569336
162,3718026.0,1785.0,1.171762869489612e-05
163,4020205.0,1931.0,0.004296137485653162
164,1093601.0,526.0,1.1384565368643962e-05
165,2497783.0,1200.0,2.917598454499348e-11
166,2074776.0,997.0,0.0018852943321689963
167,1066891.0,513.0,0.003907725214958191
168,1094628.0,526.0,0.0003724242851603776
169,831515.0,400.0,0.003293317276984453
170,2304981.0,1107.0,5.124816743773408e-05
171,3726737.0,1790.0,0.002786435419693589
172,3882368.0,1864.0,3.260837547713891e-05
173,1558354.0,749.0,4.702143633039668e-05
174,1750381.0,841.0,0.0006200738134793937
175,3230473.0,1551.0,0.049646325409412384
176,3506586.0,1684.0,0.006733390502631664
177,2882417.0,1384.0,0.0001268809282919392
178,3864067.0,1856.0,0.0013052828144282103
179,888914.0,427.0,0.0012732228497043252
180,2813381.0,1351.0,0.0013922951184213161
181,882972.0,424.0,7.365790224866942e-05
182,558943.0,269.0,8.594342216383666e-05
183,1897492.0,911.0,0.07748797535896301
